lemma	def
Τυδεΐδης	son of Tydeus
Τυδεύς	Tydeus
Τυνδάρεος	Tyndarus, Tyndareus, husband of Leda
Φάρος	Pharos
Φέρης	Pheres
Φήμιος	Phemius
Φαέθουσα	Phaethusa
Φαέθων	Phaethon
Φαίαξ	a Phaeacian
Φαίδιμος	Phaedimus
Φαίδρα	Phaedra
Φεραί	Pherae
Φηραί	Pherae
Φηρητιάδης	descendant of Pheres
Φθία	Phthia
Φθιραί	Phthira, mountain in Caria
Φιλητορίδης	Philetorides
Φιλοίτιος	Philoetius
Φιλοκτήτης	Philoctetes
Φιλομηλεΐδης	Philomeleides
Φοινίκη	Phoenicia
Φοῖβος	Phoebus
Φοῖνιξ	a Phoenician
Φραδμονίδης	son of Phradmon
Φρυγία	Phrygia
Φρόνιος	Phronius
Φρόντις	wife of Panthoüs, mother of Euphorbus and Polydamas
Φρόντις2	son of Onetor, pilot of Menelāus
Φρύξ	a Phrygian
Φυλάκη	Phylace
Φυλακίδης	son of Phylacus, Iphiclus
Φυλεΐδης	son of Phyleus
Φυλεύς	Phyleus
Φυλομέδουσα	Phylomedusa
Φυλώ	Phylo
Φωκεύς	a Phocian
Φόρβας	Phorbas
Φόρκυς	Phorcys
Φύλακος	Phylacus
Φύλας	Phylas
Φώκαια	Phocaea
Φᾶρις	Pharis (f., the city; m., the founder)
Χάλκων	Chalcon
Χάρις	Charis, Grace
Χάροπος	Charopos
Χάροψ	Charops
Χάρυβδις	Charybdis
Χίμαιρα	Chimaera
Χίος	Chios (island)
Χαλκίς	Chalcis
Χαλκωδοντιάδης	son of Chalcodon
Χείρων	Cheiron
Χρομίος	Chromius
Χρυσηΐς	Chryseis (daughter of Chryses)
Χρυσόθεμις	Chrysothemis
Χρόμις	Chromius, Mysian chief
Χρύση	Chryse
Χρύσης	Chryses
Ψυρίη	Psyria, Psyra
γαιήοχος	earth-upholding
γῆ	earth
θάνατος	death
θέμις	that which is laid down
κήρ	doom, death, fate (LSJ  Κήρ)
μήνη	the moon
μοῖρα	a part, portion; fate
νίκη	victory
νύμφη	a young wife, bride
νύξ	the night
οὐρανός	heaven
οὔτις	no one
πλοῦτος	wealth, riches
πολυδέγμων	receiving much
πολυδέκτης	the all-receiver
πολυσημάντωρ	giving commands to many
σελήνη	the moon
τύχη	(good) fortune, luck, chance
φόβος	fear, panic, flight
ἀλκή	strength
ἁρμονία	a fastening
ἄμαξα	a wagon, wain
Ἀβαρβαρέη	a Trojan fountain nymph
Ἀγάθων	Agathon
Ἀγάστροφος	Agastrophus, a Trojan
Ἀγέλαος	Agelaus
Ἀγέλεως	Agelaus
Ἀγήνωρ	Agenor
Ἀγακλέης	Agacles, a Myrmidon [for adj. see -εής]
Ἀγαμέμνων	Agamemnon, lit. the very steadfast
Ἀγαμήδη	Agamede
Ἀγαμεμνονίδης	Agamemnon's son
Ἀγαπήνωρ	Agapenor
Ἀγασθένης	Agasthenes
Ἀγαυή	Agaue
Ἀγαυός	Agavus
Ἀγκαῖος	Ancaeus
Ἀγλαΐα	Aglaea, wife of Charops, mother of Nireus
Ἀγχίαλος	Anchialus
Ἀγχίσης	Anchises
Ἀγχισιάδης	son of Anchises
Ἀδάμας	Adamas
Ἀδμήτη	Admete
Ἀδράστεια	the Inevitable
Ἀδρήστη	Adraste
Ἀδρηστίνη	daughter of Adrastus
Ἀζαντίς	daughter of Azan
Ἀζεΐδης	son of Azeus, Ἄκτωρ
Ἀθήνη	Athena
Ἀθῆναι	the city of Athens
Ἀκάμας	Acamas
Ἀκάστη	Acaste
Ἀκεσσαμενός	a king of Thrace, father of Periboea
Ἀκρισιώνη	daughter of Acrisius , Danaë
Ἀκρόνεως	Acroneus
Ἀκταίη	a Nereid
Ἀκτορίδης	descendant of Actor , Echecles
Ἀκτορίς	Actoris
Ἀκτορίων	son of Actor
Ἀλάστωρ	Alastor
Ἀλέκτωρ	Alector
Ἀλέξανδρος	Alexander
Ἀλήιον	land of wandering
Ἀλαλκομενηΐς	the Protectress
Ἀλαστορίδης	son of Alastor
Ἀλείσιον	a town in Elis
Ἀλεγηνορίδης	son of Alegenor , Promachus
Ἀλεκτρυών	father of Leïtus
Ἀλθαία	Althaea
Ἀλκάθοος	Alcathous
Ἀλκάνδρη	Alcandre
Ἀλκίνοος	Alcinous
Ἀλκίππη	Alcippe
Ἀλκιμέδων	Alcimedon
Ἀλκιμίδης	Alcimedes
Ἀλκμάων	son of Thestor
Ἀλκμήνη	Alcmene
Ἀλκμαίων	Alcmaeon
Ἀλκυόνη	name given to Cleopatra, daughter of Idas and Marpessa
Ἀλφειός	Alpheus
Ἀλωεύς	father of Otus and Ephialtes
Ἀλόπη	a town in the domain of Achilles
Ἀλύβη	a country near Troy
Ἀμάθεια	Amathea
Ἀμαζών	the Amazons
Ἀμαρυγκεΐδης	son of Amarynceus
Ἀμαρυγκεύς	Amarynceus
Ἀμισώδαρος	a king in Caria, father of Atymnius and Maris
